,Date,Open,High,Low,Close,Crypto
3439,2021-02-20,1957.92,2035.95,1928.01,1968.81,ETH
3440,2021-02-20,238.1,247.05,229.29,232.36,LTC
3441,2021-02-21,56523.0,58315.0,54040.0,57332.0,BTC
3442,2021-02-21,1963.56,1974.99,1836.83,1922.8,ETH
3443,2021-02-21,232.31,233.53,217.74,226.79,LTC
3444,2021-02-22,57332.0,57616.0,48034.0,54919.0,BTC
3445,2021-02-22,1911.65,1939.7,870.0,1799.77,ETH
3446,2021-02-22,226.79,228.25,155.0,209.77,LTC
3447,2021-02-23,54919.0,55032.0,45212.0,48016.0,BTC
3448,2021-02-23,1793.48,1802.44,1372.14,1539.99,ETH
3449,2021-02-23,209.32,209.81,159.48,173.76,LTC
3450,2021-02-24,48084.0,51337.0,47039.0,48720.0,BTC
3451,2021-02-24,1536.41,1714.96,1504.28,1591.57,ETH
3452,2021-02-24,173.66,189.54,169.35,177.23,LTC
3453,2021-02-25,48720.0,52054.0,48119.0,48199.0,BTC
3454,2021-02-25,1587.56,1669.99,1526.11,1526.11,ETH
3455,2021-02-25,176.8,204.9,172.14,186.19,LTC
3456,2021-02-26,48199.0,48821.0,44246.0,45621.0,BTC
3457,2021-02-26,1520.0,1562.66,1403.0,1429.31,ETH
3458,2021-02-26,185.67,190.33,162.93,167.29,LTC
3459,2021-02-27,45680.0,48321.0,45118.0,46844.0,BTC
3460,2021-02-27,1429.62,1526.9,1412.64,1507.11,ETH
3461,2021-02-27,167.55,180.31,166.0,173.97,LTC
3462,2021-02-28,46844.0,46859.0,43197.0,45255.0,BTC
3463,2021-02-28,1506.45,1509.95,1297.64,1416.12,ETH
3464,2021-02-28,173.97,173.97,153.16,165.83,LTC
3465,2021-03-01,45254.0,49412.0,44970.0,48844.0,BTC
3466,2021-03-01,1417.1,1563.99,1401.44,1547.0,ETH
3467,2021-03-01,165.83,176.39,163.3,172.35,LTC
3468,2021-03-02,48844.0,50200.0,47144.0,47477.0,BTC
3469,2021-03-02,1547.0,1605.03,1457.48,1467.94,ETH
3470,2021-03-02,172.35,185.0,170.81,172.9,LTC
3471,2021-03-03,47466.0,52564.0,47422.0,50952.0,BTC
3472,2021-03-03,1467.71,1655.19,1465.75,1595.02,ETH
3473,2021-03-03,172.67,196.26,172.53,189.3,LTC
3474,2021-03-04,50952.0,51777.0,47555.0,47924.0,BTC
3475,2021-03-04,1592.11,1624.67,1505.69,1516.45,ETH
3476,2021-03-04,189.47,194.34,177.01,179.1,LTC
3477,2021-03-05,47917.0,49442.0,46472.0,49138.0,BTC
3478,2021-03-05,1516.04,1548.0,1443.65,1535.09,ETH
3479,2021-03-05,179.11,182.0,168.83,180.34,LTC
3480,2021-03-06,49138.0,49391.0,47147.0,48583.0,BTC
3481,2021-03-06,1535.3,1669.66,1514.25,1642.7,ETH
3482,2021-03-06,180.32,184.58,174.71,180.42,LTC
3483,2021-03-07,48592.0,51343.0,48552.0,50104.0,BTC
3484,2021-03-07,1647.76,1693.7,1634.39,1664.0,ETH
3485,2021-03-07,180.69,189.6,180.65,187.06,LTC
3486,2021-03-08,50104.0,51949.0,49368.0,51896.0,BTC
3487,2021-03-08,1664.0,1793.0,1663.27,1790.92,ETH
